,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,24.558,30.688,12.599,11.573,20.322,36.392,27.888,17.416,22.112,28.63,10.812,39.075,21.687,16.111,37.161,25.9,33.538
2,24.558,0.0,42.205,24.116,12.987,13.487,12.529,39.405,28.932,33.629,4.767,22.329,15.212,11.943,10.901,13.298,1.904,9.675
3,30.688,42.205,0.0,25.022,29.22,37.97,54.039,5.381,29.839,8.632,46.277,22.775,56.722,39.334,33.758,54.808,43.547,51.185
4,12.599,24.116,25.022,0.0,11.131,19.88,35.95,22.222,5.211,16.447,28.188,5.147,38.633,21.245,15.669,36.718,25.457,33.096
5,11.573,12.987,29.22,11.131,0.0,8.752,24.821,26.42,15.947,20.644,17.059,9.344,27.504,10.116,4.54,25.59,14.329,21.967
6,20.322,13.487,37.97,19.88,8.752,0.0,25.321,35.169,24.697,29.393,17.559,18.093,28.004,10.616,4.211,26.089,14.829,22.467
7,36.392,12.529,54.039,35.95,24.821,25.321,0.0,51.239,40.766,45.463,7.762,34.163,2.683,23.776,22.735,9.523,14.183,5.901
8,27.888,39.405,5.381,22.222,26.42,35.169,51.239,0.0,27.039,5.831,43.477,19.975,53.922,36.534,30.958,52.007,40.746,48.385
9,17.416,28.932,29.839,5.211,15.947,24.697,40.766,27.039,0.0,21.263,33.004,9.963,43.449,26.061,20.486,41.535,30.274,37.912
10,22.112,33.629,8.632,16.447,20.644,29.393,45.463,5.831,21.263,0.0,37.701,14.199,48.146,30.758,25.182,46.231,34.971,42.609
11,28.63,4.767,46.277,28.188,17.059,17.559,7.762,43.477,33.004,37.701,0.0,26.401,10.445,16.015,14.973,8.531,6.421,4.908
12,10.812,22.329,22.775,5.147,9.344,18.093,34.163,19.975,9.963,14.199,26.401,0.0,36.846,19.458,13.882,34.932,23.671,31.309
13,39.075,15.212,56.722,38.633,27.504,28.004,2.683,53.922,43.449,48.146,10.445,36.846,0.0,26.459,25.418,12.206,16.866,8.583
14,21.687,11.943,39.334,21.245,10.116,10.616,23.776,36.534,26.061,30.758,16.015,19.458,26.459,0.0,8.03,24.545,13.284,20.922
15,16.111,10.901,33.758,15.669,4.54,4.211,22.735,30.958,20.486,25.182,14.973,13.882,25.418,8.03,0.0,23.503,12.242,19.881
16,37.161,13.298,54.808,36.718,25.59,26.089,9.523,52.007,41.535,46.231,8.531,34.932,12.206,24.545,23.503,0.0,14.952,3.623
17,25.9,1.904,43.547,25.457,14.329,14.829,14.183,40.746,30.274,34.971,6.421,23.671,16.866,13.284,12.242,14.952,0.0,11.329
18,33.538,9.675,51.185,33.096,21.967,22.467,5.901,48.385,37.912,42.609,4.908,31.309,8.583,20.922,19.881,3.623,11.329,0.0
