Vehículo,Tipo,Nodo Origen,Nodo Destino,Llegada (HH:MM),Ventana (Inicio - Fin),Dentro de ventana,Demanda acumulada,Capacidad vehículo,Dentro de capacidad,Distancia total acumulada (km),Rango máximo (km),Dentro del rango
1,Truck,COM11,COM16,07:53,00:00 - 24:00,Sí,0,131.9211396722696,Sí,13.69 km,145.85207096486445,Sí
1,Truck,COM16,COM18,08:15,00:00 - 24:00,Sí,0,131.9211396722696,Sí,26.82 km,145.85207096486445,Sí
1,Truck,COM18,COM11,08:32,00:00 - 24:00,Sí,0,131.9211396722696,Sí,36.91 km,145.85207096486445,Sí
2,Truck,COM01,COM15,07:37,00:00 - 24:00,Sí,0,108.4356199315333,Sí,4.27 km,1304.605971281605,Sí
2,Truck,COM15,COM17,07:48,00:00 - 24:00,Sí,0,108.4356199315333,Sí,12.43 km,1304.605971281605,Sí
2,Truck,COM17,COM01,08:05,00:00 - 24:00,Sí,12,108.4356199315333,Sí,22.86 km,1304.605971281605,Sí
3,Truck,COM05,COM14,07:36,00:00 - 24:00,Sí,0,91.50425520531196,Sí,2.70 km,953.172608610164,Sí
3,Truck,COM14,COM13,07:47,00:00 - 24:00,Sí,0,91.50425520531196,Sí,10.71 km,953.172608610164,Sí
3,Truck,COM13,COM05,08:03,00:00 - 24:00,Sí,5,91.50425520531196,Sí,19.32 km,953.172608610164,Sí
4,Truck,COM04,COM20,07:35,00:00 - 24:00,Sí,0,32.896064077536955,Sí,3.05 km,17.302304187458727,Sí
4,Truck,COM20,COM19,07:55,00:00 - 24:00,Sí,0,32.896064077536955,Sí,13.17 km,17.302304187458727,Sí
4,Truck,COM19,COM04,08:17,00:00 - 24:00,Sí,6,32.896064077536955,Sí,25.13 km,17.302304187458727,No
5,Truck,COM12,COM21,07:48,00:00 - 24:00,Sí,0,22.65262807032524,Sí,10.31 km,16.627680130757895,Sí
5,Truck,COM21,COM12,08:06,00:00 - 24:00,Sí,0,22.65262807032524,Sí,19.41 km,16.627680130757895,No
