Vehículo,Tipo,Nodo Origen,Nodo Destino,Llegada (HH:MM),Ventana (Inicio - Fin),Dentro de ventana,Demanda acumulada,Capacidad vehículo,Dentro de capacidad,Distancia total acumulada (km),Rango máximo (km),Dentro del rango
1,4x4,ÇD,ÇOM11,08:30,08:30 - 09:00,Sí,10.0,200.0,Sí,5.16 km,804.0,Sí
1,4x4,ÇOM11,ÇOM03,10:15,10:15 - 10:45,Sí,28.0,200.0,Sí,7.50 km,804.0,Sí
1,4x4,ÇOM03,ÇOM04,13:00,13:00 - 13:30,Sí,50.0,200.0,Sí,12.22 km,804.0,Sí
1,4x4,ÇOM04,ÇOM01,13:20,13:20 - 13:50,Sí,75.0,200.0,Sí,16.52 km,804.0,Sí
1,4x4,ÇOM01,ÇOM12,13:35,13:10 - 13:40,Sí,99.0,200.0,Sí,22.22 km,804.0,Sí
1,4x4,ÇOM12,ÇOM10,14:30,14:30 - 15:00,Sí,108.0,200.0,Sí,26.35 km,804.0,Sí
1,4x4,ÇOM10,ÇOM05,14:55,14:50 - 15:20,Sí,121.0,200.0,Sí,32.18 km,804.0,Sí
1,4x4,ÇOM05,ÇOM14,15:00,15:00 - 15:30,Sí,136.0,200.0,Sí,33.59 km,804.0,Sí
2,drone,ÇD,ÇOM06,09:00,09:00 - 09:30,Sí,4.0,25.0,Sí,3.25 km,480.0,Sí
2,drone,ÇOM06,ÇOM09,14:18,14:18 - 14:48,Sí,13.0,25.0,Sí,7.90 km,480.0,Sí
2,drone,ÇOM09,ÇOM13,14:40,14:40 - 15:10,Sí,25.0,25.0,Sí,11.12 km,480.0,Sí
3,drone,ÇD,ÇOM08,08:15,08:15 - 08:45,Sí,10.0,25.0,Sí,3.70 km,480.0,Sí
3,drone,ÇOM08,ÇOM07,09:11,09:11 - 09:41,Sí,15.0,25.0,Sí,8.62 km,480.0,Sí
3,drone,ÇOM07,ÇOM02,13:30,13:30 - 14:00,Sí,24.0,25.0,Sí,10.04 km,480.0,Sí
