Vehículo,Tipo,Nodo Origen,Nodo Destino,Llegada (HH:MM),Ventana (Inicio - Fin),Dentro de ventana,Demanda acumulada,Capacidad vehículo,Dentro de capacidad
1,4x4,ÇD,ÇOM08,07:15,07:15 - 09:45,Sí,10.0,200.0,Sí
1,4x4,ÇOM08,ÇOM03,09:15,09:15 - 11:45,Sí,28.0,200.0,Sí
1,4x4,ÇOM03,ÇOM11,10:00,07:30 - 10:00,Sí,38.0,200.0,Sí
1,4x4,ÇOM11,ÇOM04,12:07,12:00 - 14:30,Sí,60.0,200.0,Sí
1,4x4,ÇOM04,ÇOM01,12:20,12:20 - 14:50,Sí,85.0,200.0,Sí
1,4x4,ÇOM01,ÇOM10,13:30,13:30 - 16:00,Sí,94.0,200.0,Sí
1,4x4,ÇOM10,ÇOM13,13:46,13:40 - 16:10,Sí,106.0,200.0,Sí
1,4x4,ÇOM13,ÇOM05,13:56,13:50 - 16:20,Sí,119.0,200.0,Sí
1,4x4,ÇOM05,ÇOM09,14:26,13:18 - 15:48,Sí,128.0,200.0,Sí
1,4x4,ÇOM09,ÇOM02,14:34,12:30 - 15:00,Sí,137.0,200.0,Sí
2,Dron,ÇD,ÇOM06,08:00,08:00 - 10:30,Sí,4.0,25.0,Sí
2,Dron,ÇOM06,ÇOM07,08:11,08:11 - 10:41,Sí,9.0,25.0,Sí
2,Dron,ÇOM07,ÇOM14,14:00,14:00 - 16:30,Sí,24.0,25.0,Sí
3,Dron,ÇD,ÇOM12,12:10,12:10 - 14:40,Sí,24.0,25.0,Sí
